timestamp,mem_write_time,mem_read_time,file_write_time,file_read_time,rtt,tsc_jump
14637739776514,9610700,8818486,30798,4078,0.16,794394
14637839859160,9632944,8810654,29772,4068,0.16,650874
14637939942307,9606540,8842016,29650,4088,0.16,789958
14638040050392,9645380,8799606,113802,7322,0.16,638366
14638140121768,9623570,8900432,29796,3854,0.12,793606
14638240200802,9614276,8904892,29174,4002,0.12,763394
14638340292169,9626894,8936536,28794,3996,0.12,623762
14638440379802,9606308,8960740,28326,4128,0.12,641946
14638540442676,9554268,8915864,37456,5146,0.12,760814
14638640538067,9584858,8897044,30718,4186,0.12,632036
14638740601948,9505276,8916180,29006,4122,0.12,799684
14638840679317,9511686,8901982,28346,3948,0.12,630272
14638940757754,9578704,8831368,27926,3858,0.12,788580
14639040836391,9577062,8829114,28204,4010,0.12,624116
14639140916430,9577342,8833740,28184,3948,0.14,787196
14639240997225,9572188,8838390,28608,3982,0.14,788996
14639341078260,9565890,8855766,28294,3826,0.14,793404
14639441154010,9566726,8839598,27864,3968,0.14,631170
14639541169930,9502260,8838330,27490,3856,0.14,626362
14639641301486,9508628,8903372,27878,3994,0.14,620596
14639741383960,9511468,8908946,27738,4016,0.14,630402
14639841388337,9444052,8921516,27706,3822,0.14,629100
14639941500066,9441526,8911370,27680,4014,0.14,787324
14640041579527,9442996,8911092,27428,3728,0.14,624246
14640141657937,9445264,8912148,27156,3924,0.10,688784
14640241739554,9506386,8850468,27106,3886,0.10,763836
14640341819703,9499264,8852912,27486,3474,0.10,638272
14640441900278,9503912,8853646,27282,3800,0.10,620256
14640542093710,9664740,8912058,48906,6114,0.10,787698
14640642284770,9598358,9268700,147164,6818,0.10,877058
14640742238718,9561296,8887074,44708,6484,0.10,790464
14640842326235,9566920,8951790,55382,6296,0.10,801636
14640942406670,9563072,8950564,48400,6266,0.10,805688
14641042432120,9496652,8915978,41702,5214,0.10,803186
14641142544317,9587666,8909938,31826,4436,0.20,748596
14641242605300,9588884,8849918,29460,4056,0.20,787796
14641342688247,9560350,8880368,31336,3808,0.20,656470
14641442765019,9627950,8810900,28480,3952,0.20,622778
14641542852848,9628722,8803162,30124,13048,0.20,794230
14641642923622,9609932,8812928,29056,3762,0.20,798224
14641743004978,9629448,8798552,28884,4180,0.20,635098
14641843131426,9620692,8822942,53940,4192,0.20,684592
14641943204017,9624708,8811930,28970,4140,0.20,674276
14642043330502,9654336,8877730,38346,5470,0.20,791804
14642143385516,9632420,8873498,29700,3980,0.17,680986
14642243410705,9565068,8866952,28908,4102,0.17,791962
14642343528211,9565934,8884280,29166,4106,0.17,765292
14642443607030,9549278,8896056,29400,3982,0.17,796512
14642543687056,9559212,8884054,29278,4074,0.17,657196
14642643765772,9621360,8818182,28956,3860,0.17,634422
14642743842757,9606988,8818628,28560,3846,0.17,671834
14642843922022,9624970,8797668,28770,4004,0.17,620480
14642944039466,9630806,8810872,28988,4210,0.17,790424
14643044106146,9623182,8883648,28684,4276,0.17,627482
14643144193872,9636194,8890274,28478,4130,0.14,687374
14643244278433,9609178,8943690,28810,4076,0.14,674656
14643344359568,9625654,8934866,28568,3876,0.14,627858
14643444430854,9566728,8952044,29102,4064,0.14,627422
14643544545734,9583158,8932604,28648,3960,0.14,631448
14643644625022,9574730,8946940,28740,3986,0.14,686732
14643744696112,9533700,8949694,28344,3936,0.14,795708
14643844777238,9620760,8861076,28898,3866,0.14,620720
14643944869142,9628436,8893130,29470,4370,0.14,696996
14644045040356,9800336,8903540,44366,6668,0.14,798004
14644145210541,9775380,9226580,54714,6866,0.16,802646
14644245154275,9634370,8857484,50128,6544,0.16,798564
14644345246437,9573216,8853986,51922,6512,0.16,784602
14644445409184,9672638,8966298,48022,6336,0.16,679402
14644545421707,9495836,8925984,41518,5532,0.16,1881642
14644645506958,9461404,8903548,29958,4132,0.16,797382
14644745584953,9456136,8912376,28816,3868,0.16,801460
14644845670445,9431856,8956200,28128,4022,0.16,642656
14644945741886,9497222,8856454,28570,3996,0.16,788892
14645045823902,9510556,8843972,28570,4124,0.16,804354
14645145900175,9502388,8842100,28904,4304,0.17,790142
14645245984672,9492016,8863208,28628,3966,0.17,795986
14645346062588,9510298,8838428,28148,3720,0.17,621458
14645446140924,9497602,8850194,27396,3832,0.17,802482
14645546273755,9530614,8848654,40302,5176,0.17,800126
14645646330045,9516198,8911546,29238,4026,0.17,625358
14645746390157,9439300,8924632,27638,3772,0.17,649292
14645846497794,9449548,8898338,27688,3954,0.17,798120
14645946598515,9572432,8849286,27404,3996,0.17,620262
14646046671572,9531210,8850836,30546,4122,0.17,625906
14646146739959,9583136,8772416,29554,4112,0.16,620760
14646246816321,9572770,8762558,28718,3834,0.16,760670
14646346900397,9585858,8772972,27784,3688,0.16,620118
14646446982606,9591362,8772122,28222,3590,0.16,620392
14646547061472,9572522,8786210,28070,3778,0.16,619348
14646647143329,9575468,8777708,28218,3922,0.16,674982
14646747239402,9568868,8775196,28230,3838,0.16,637380
14646847315387,9578842,8832378,27708,3872,0.16,633434
14646947383933,9522348,8841570,28902,3822,0.16,622482
14647047500847,9523194,8835052,27774,3812,0.16,679406
14647147618316,9586934,8879380,32176,4392,0.16,698972
14647247685953,9551002,8878060,30126,4202,0.16,763820
14647347766831,9633062,8802756,29906,4492,0.16,804172
14647447849735,9633804,8824672,28536,4088,0.16,792434
14647548057751,9644916,8975760,49682,6558,0.16,803426
14647648095333,9640776,8827294,54886,7772,0.16,793452
14647748164629,9630964,8873532,50038,7372,0.16,790898
14647848269879,9630106,8883636,123154,6296,0.16,785636
14647948360773,9640742,8971922,53480,7242,0.16,787580
14648048413270,9644742,8920294,42516,5580,0.16,627900
14648148420786,9547020,8918766,29590,4038,0.16,620948
14648248517764,9509602,8905540,29122,3934,0.16,764868
14648348595039,9507060,8897662,28652,3878,0.16,620742
14648448708531,9511214,8910460,29420,4206,0.16,620042
14648548788329,9579662,8840474,27702,3882,0.16,683074
14648648897636,9589742,8842676,28600,4098,0.16,621504
14648749001787,9585480,8839288,27936,3912,0.16,636038
14648849107510,9564826,8842168,28556,3992,0.16,631044
14648949195891,9501220,8858744,37536,4644,0.16,666598
14649049318793,9521840,8915224,31166,4368,0.16,785420
14649149383502,9513194,8902952,29150,4080,0.16,802006
